"Band","NH01","NH02","NH03","NH04","NH05","NH06","NH07","NH08","NH09","NH10","NH11","NH12","NH13","NH14","AE01","AE02","AE03","AE04","AE05","AE06","AE07","AE08","AE09","AE10","AE11","AE12","AE12b"
"498",1.01797640508373,0.971416206503494,1.02938140208807,0.979301699851382,1.27285041753094,1.54429516589564,1.63186438642471,1.44603045911784,1.6743487582655,1.47104818150824,1.56737908424768,0.924949946269845,1.10207827039151,1.0270996306886,2.0335513191436,2.04449518116055,2.14703557037333,1.95376059021109,1.58965642195916,1.66718786405416,1.43579175178583,1.21192034338164,1.12277599836126,1.1134814678484,1.11666899550902,1.2482783070498,1.24243824225985
"500",0.945490970782545,0.897823912899525,0.953758848819259,0.908106845350502,1.19875456881203,1.47153131863889,1.55909292495065,1.36583193317282,1.60615650476367,1.40022632591845,1.49856281700631,0.853458712586743,1.02824807910887,0.953459118142309,2.07095392932063,1.98385267960746,2.09296535552434,1.88283006986882,1.51510927480022,1.59754494709606,1.35672383152111,1.13454035399374,1.04712623216022,1.03674513933574,1.03960588597565,1.17124977875607,1.16577009582895
"502",0.871271508023333,0.82348715659262,0.8766459542033,0.835540107277665,1.11988351890847,1.39060623859206,1.47771253330543,1.27944351004046,1.52943182109429,1.32216162918289,1.42198835574058,0.781881970793754,0.951645469178902,0.878009271472735,2.09476311077629,1.91326871236771,2.02716132709778,1.80391187634774,1.43479792927777,1.52159065339193,1.27397628130635,1.05418130863906,0.969421432086019,0.958290492291096,0.961478785222286,1.09107723002152,1.08682586571849
"504",0.796409289548325,0.749297911690626,0.799258798063867,0.762140271116841,1.0364020330585,1.30126008478188,1.38740760532399,1.18717938895286,1.44392930400497,1.23648389302004,1.33709811915957,0.710992562197393,0.872930640674501,0.80208114445543,2.09854455730821,1.83159670185422,1.947758975372,1.71572421914324,1.34865632375515,1.43930509120492,1.18707376095636,0.971549044141584,0.890003520421938,0.878650893109053,0.882133519672741,1.00815594974929,1.00516372492386
"506",0.721607095151287,0.675366172874765,0.721870067896768,0.688053111907496,0.94863772848814,1.20340358904437,1.28767869659243,1.08945212407702,1.34844086383908,1.14285704697557,1.24309267374966,0.640436488530298,0.792424957475233,0.725990644437924,2.07519872395288,1.73717966823465,1.8527051865313,1.61581190584705,1.25594360406537,1.35025045751663,1.0952081962106,0.886685200142661,0.808844493742222,0.79796287060985,0.800560735853036,0.922409840670091,0.920336287014343
"508",0.648413302657649,0.60371231308329,0.646527517022972,0.61524117946984,0.859202104069089,1.10086914863182,1.18201035852546,0.988960345296368,1.244514729672,1.0445882617095,1.14296016625476,0.571753847726488,0.712521735614121,0.65188641979989,2.02521442871973,1.63226734253786,1.74459690629416,1.50618701893415,1.15935685603025,1.25582358793573,1.0006171497343,0.801493684261318,0.728098834654533,0.71805459529268,0.719469921687601,0.836093593002553,0.834842905333489
"510",0.579139201579226,0.536902036649534,0.576080386972294,0.546633460418442,0.772258003415507,0.99948125896863,1.07672225270288,0.890898378538922,1.13742350167551,0.947360308785838,1.04254282086188,0.507167483367622,0.636723870245866,0.582137067341445,1.95765360973577,1.52333357420849,1.63087032776748,1.39368192864751,1.06374993317362,1.16032261050348,0.907890145636371,0.719492165399087,0.650993411574574,0.641844314923875,0.643250906209747,0.752874246263206,0.752688290613561
"512",0.517258098977748,0.47814624891239,0.514425944525561,0.486140761098435,0.693622668535817,0.906205187639312,0.97963046108046,0.802163156390487,1.036951192927,0.858530766472846,0.949580462663502,0.449649320169715,0.56942615347319,0.520123427730488,1.88590052931191,1.41943504162345,1.52197269447434,1.28816744615053,0.975214363372697,1.07063463105542,0.823117513189923,0.646004149131057,0.582089387763403,0.573643969332599,0.575793978862591,0.678053473278911,0.678508348847148
"514",0.466023650176752,0.430294126522334,0.464537521452054,0.437155249535248,0.628781078748318,0.828272364899247,0.898969408669281,0.729181945401385,0.953198473037415,0.785010374746313,0.872022847047146,0.402427115124736,0.514396133560825,0.469008531806199,1.82730133364296,1.33003231712476,1.42895237270535,1.19915567730038,0.899213896013931,0.994101860302282,0.75267389662511,0.585724549099496,0.525252042854164,0.517593405152928,0.52077093393706,0.616499316808221,0.616965425398325
"516",0.426838291691842,0.394361990098043,0.427003868752732,0.400350866890456,0.579905848398811,0.769426039293731,0.838554687520228,0.674278295307669,0.890565605094968,0.729586584331353,0.813475332824169,0.366802079787909,0.472520456840393,0.429914045512807,1.79163144141703,1.26000217545914,1.35658346957529,1.13001483800283,0.838232240362347,0.934029198022657,0.698955503658031,0.540110320522934,0.481741216738125,0.475037479984371,0.479085717587221,0.569756292720275,0.56950690671138
"518",0.399102932719334,0.369117674439469,0.400671045976875,0.374546902780778,0.546046281551572,0.72894149655732,0.797364076525713,0.636382973257435,0.849189676593688,0.691561275723321,0.773383888497756,0.342082523930674,0.44272882995266,0.402093819050465,1.78129490240047,1.21005709883511,1.30531525800002,1.07991145799643,0.792773900915422,0.889959517417738,0.661316284691203,0.508108790498188,0.450924312186003,0.444836539858686,0.449699117409078,0.536849862997334,0.534852177940354
"520",0.379610670718699,0.351234181236306,0.381827465280843,0.356476688290029,0.522684830818655,0.701480332086677,0.769821128207102,0.610409208296571,0.823081698050482,0.665989383866832,0.746547415917211,0.325230406768511,0.421584844230877,0.382731019048786,1.79029988832506,1.1747927399614,1.26954280456529,1.04367277178793,0.759604946438798,0.857385344801634,0.635228882747465,0.48556438112223,0.429361291659982,0.423182208170744,0.429055311563351,0.513651673968427,0.509281607138323
"522",0.365116593839931,0.337458519262134,0.366919901949983,0.342696204259413,0.505064204434387,0.681269228800679,0.749824218995134,0.590961474639525,0.804520105240072,0.646982234064673,0.726878746467336,0.312658116019043,0.405693628723017,0.368339911711012,1.80849689978339,1.14737695254327,1.24227533702843,1.01580141514642,0.7337897687432,0.83173872470855,0.615012898639592,0.468380273151178,0.412921352918345,0.406616339059816,0.41296837290144,0.495895408151914,0.489471008601763
"524",0.352447217455731,0.324825398775762,0.352970662851254,0.330249917910706,0.488932798926464,0.662950438643069,0.731685977141344,0.573390581896597,0.787120906131943,0.629585644600373,0.709003523655962,0.301275392086662,0.391782378014803,0.355425620312558,1.82679584209053,1.12182155112823,1.21686792799968,0.990556529099716,0.711065631408451,0.80837320120189,0.595752910922698,0.452781380383461,0.397905618605505,0.391970811712703,0.398093571435526,0.479540527064744,0.472388721717109
"526",0.338951594922905,0.311915273176451,0.338538720419337,0.317398896554012,0.4717744679391,0.642973404783045,0.71140321108179,0.554572273245867,0.766800103329829,0.610575854314929,0.688865141244654,0.289484344211757,0.377580020380555,0.341786531936819,1.83733898275688,1.09416789177479,1.18898143725852,0.963182861653186,0.68833354211903,0.783400211671946,0.574771184069671,0.436432224500059,0.382521258429704,0.377112674954959,0.383031430320723,0.462176882144909,0.4555661912689
"528",0.324467134547749,0.29849144976987,0.323896941000902,0.30394721137995,0.453738786966302,0.6210448288828,0.688839587411017,0.533958699108832,0.742879773408062,0.589909739979142,0.66646148818618,0.277020642470338,0.362841538622988,0.326940828976082,1.84051101226129,1.06407860084447,1.15915201252029,0.933369490962285,0.663535719787761,0.756319446063247,0.552332719623454,0.419148620004727,0.36642207950669,0.361710040219879,0.367643491711604,0.443805767357036,0.438415109640091
"530",0.309664997170583,0.284900123469319,0.309385520405904,0.290176523211258,0.435030218868171,0.596922548292931,0.663830845488631,0.511915305126317,0.715433388665327,0.567640722332272,0.642226276396446,0.264313080978177,0.347434505358467,0.311407222439491,1.83512601901213,1.03075256629893,1.12659221495506,0.900770735559969,0.63630908678572,0.727257587208178,0.5291883574432,0.401167601474727,0.349962797305522,0.345783165368631,0.351962150699439,0.424874453146246,0.420698464259645
"532",0.295018613187495,0.271568880781889,0.295070795740705,0.276522202532657,0.41636002747081,0.572034307829162,0.637848970361731,0.489921836096388,0.687115499769486,0.544815691106183,0.617147463170499,0.251748831356284,0.33151034363361,0.296062132875123,1.82388772352745,0.995835423969234,1.09226785069275,0.867230053299963,0.609281131864067,0.697730019267131,0.506054033233234,0.383256581993896,0.333731137385227,0.329815317320311,0.336599044999648,0.406225992351978,0.402245748978135
"534",0.280457517791922,0.258019180993866,0.280477661006307,0.262727078675788,0.397133681302384,0.546343064443989,0.610556639853058,0.46743354751253,0.658073667492964,0.520975546600117,0.590756190052653,0.239075675873601,0.314802985519985,0.28081162959752,1.80597817923815,0.959135464758402,1.0553399597682,0.832484393138322,0.582402397063677,0.667363632924781,0.48257649542633,0.365083211796894,0.317134145667326,0.313514302634879,0.320711876808249,0.387323234560362,0.382356009619222
"536",0.266161107252404,0.244607590159577,0.26639574161987,0.249290667414481,0.377892891145887,0.520869733455992,0.582797813330461,0.444692895636889,0.628606232926636,0.496850901620343,0.563962514897199,0.226784742202368,0.298117205057257,0.266034603702269,1.78171404106692,0.921453861605769,1.01617803144274,0.797408048959669,0.555259698690605,0.636668840863503,0.459575655035641,0.347251433141016,0.300637955605107,0.297523359895562,0.304438622372034,0.368461244201188,0.362248014743109
"538",0.2507522537811,0.230320623790272,0.25145508191138,0.235019643080666,0.357103339858917,0.493916288687702,0.553062740200094,0.419952621010667,0.596521053658154,0.470667357070976,0.534998827897511,0.213898660963705,0.280401049588513,0.250584281438314,1.74965014007929,0.880787951823999,0.973129716713455,0.760462933742024,0.52641585083471,0.60424606892497,0.434830547638963,0.328108000596194,0.282895790755079,0.280907329337161,0.287023180980739,0.348160829168596,0.341491709423081
"540",0.234785629250941,0.215727526853163,0.236052187453222,0.22035879280697,0.335416853636694,0.465857499696236,0.522250869595157,0.394288656771518,0.562902942393882,0.443252068395488,0.504819617864148,0.200772819756216,0.262373811521116,0.234889736523761,1.70913359801263,0.837653783456895,0.927203641713013,0.721815319667787,0.49665533633184,0.570864795312721,0.40875164523635,0.308308028700873,0.264758165825047,0.264198139477607,0.269364474500292,0.327067436427607,0.320981296844295
