"band","Ehux","Pela","Pro_","Syn_","Tetr","Thal"
"a594","0.00474785979477099","0.00543150716390205","0.000727441509580428","0.00239353529536409","0.00527381322105316","0.0102585912927528"
"a596","0.00466116283278724","0.00534844721318299","0.00072843691013893","0.00235109700635793","0.00521469893347557","0.0100967726032209"
"a598","0.00457446587080349","0.00526538726246392","0.000729432310697432","0.00230865871735178","0.00515558464589797","0.00993495391368908"
"a600","0.00447469126703936","0.0051507472277021","0.000731603221764557","0.00225947525243587","0.00510139108736609","0.00976151496874529"
"a602","0.00436931195965506","0.00502257287120766","0.000734277923049663","0.00220740099784434","0.00504930641271094","0.00958309591433923"
"a604","0.00427964024013714","0.00491367358136837","0.000740234153838226","0.00216887774618457","0.00500447566622591","0.00942956916344195"
"a606","0.00420916668356703","0.00482833270632982","0.000750201142908789","0.00214691683144138","0.0049685108319488","0.00930646633905541"
"a608","0.00414271515614042","0.00473995649395826","0.000760847387886856","0.00212529723425073","0.00493313195558908","0.00919376175813205"
"a610","0.00409905512719366","0.0046343800366997","0.000775342749674106","0.00210561176985783","0.00490107350742798","0.00913998055683338"
"a612","0.00405539509824691","0.00452880357944114","0.000789838111461356","0.00208592630546493","0.00486901505926688","0.00908619935553471"
"a614","0.00404411230525562","0.00447207307390823","0.000802696627982974","0.00208380534254576","0.00483547370082513","0.00902671372117433"
"a616","0.00403282951226433","0.00441534256837533","0.000815555144504593","0.0020816843796266","0.00480193234238338","0.00896722808681395"
"a618","0.0040339867351826","0.00436642471713656","0.000825866407681564","0.00207542554179084","0.00477394294962713","0.00891917342123023"
"a620","0.00404184242820601","0.00432171367974847","0.000834806072903725","0.00206693861746153","0.00474894307685538","0.00887727389268009"
"a622","0.00405199102006546","0.0042853195366099","0.000841664621609609","0.00205832019846642","0.00472652053362572","0.00883447783989279"
"a624","0.004069018308433","0.00427387607621989","0.000842279820766668","0.00204930729547391","0.00471182997902235","0.00878899221439398"
"a626","0.00408604559680055","0.00426243261582989","0.000842895019923727","0.00204029439248139","0.00469713942441897","0.00874350658889517"
"a628","0.0040966878698448","0.0042357741461936","0.000846732163145987","0.00204425690119939","0.00469031370954053","0.00869860753784172"
"a630","0.00410662069674202","0.00420742511997438","0.000850927300153271","0.00204966112232967","0.00468436186574263","0.00865377366172664"
"a632","0.00411188037168406","0.00417986691090604","0.000852133035082047","0.00204447808668227","0.00469919714278243","0.00858911700605923"
"a634","0.00411331655866277","0.00415295573405204","0.000850892895582955","0.00203063275003496","0.00473104006414399","0.00850824171257627"
"a636","0.00411068637447731","0.00412861481876366","0.000850878143353412","0.00201630762449393","0.00477003076169782","0.00843011523826479"
"a638","0.00409585707679932","0.00411198468817217","0.000854539552932518","0.00200054313227175","0.00483046478782843","0.00836023522146775"
"a640","0.00408102777912132","0.00409535455758068","0.000858200962511623","0.00198477864004956","0.00489089881395904","0.00829035520467071"
"a642","0.00402945115198186","0.00405369003393459","0.000867521483507024","0.00197824490697805","0.00496458022134323","0.00823216731819445"
"a644","0.00397379148823556","0.00400924391106021","0.000877470794659791","0.00197273681381217","0.00503973355997781","0.00817527855730938"
"a646","0.00395472669955885","0.0039775709897007","0.00090414574326762","0.00197232352453411","0.00511201401151602","0.00820338446017142"
"a648","0.00396005849426184","0.00395441353601776","0.000941971116845488","0.00197530677118128","0.00518237920498998","0.00828815347219818"
"a650","0.00400479099400242","0.00395840839870542","0.00098720715113764","0.00199009011861104","0.0052502480496556","0.00842949248752768"
"a652","0.00414145847216402","0.0040257586662578","0.00104973472709645","0.00203240703453354","0.00531229208043508","0.00870282817723022"
"a654","0.00428557985472223","0.00409770778138884","0.00111412412941256","0.0020755272832672","0.00537485017038706","0.00898485460688732"
"a656","0.00457132542081607","0.00425703500051432","0.00121388823251716","0.00213391085541283","0.00544717538461652","0.00943200509568102"
"a658","0.00485707098690992","0.00441636221963979","0.00131365233562176","0.00219229442755846","0.00551950059884598","0.00987915558447472"
"a660","0.00526503516244089","0.00463375298797663","0.00142912651053419","0.00228273223885506","0.00561053098041394","0.010437029656918"
"a662","0.00572537874201634","0.00487602813454691","0.00155133357336426","0.00238690758121636","0.00570957786226982","0.0110423566937826"
"a664","0.00618691534094807","0.00513349182282079","0.00167164186447007","0.00249686034018698","0.00581455705802571","0.0116376434799877"
"a666","0.00664991007464857","0.00540951928428796","0.00178962943457957","0.00261387438612455","0.0059267868596594","0.0122206588487201"
"a668","0.00708866227764836","0.00566473971483986","0.00190034500910087","0.00272881197957438","0.00603096830051411","0.0127587685440117"
"a670","0.00739004014001075","0.00580205363687189","0.00196985260862242","0.002831983008927","0.00608954236362123","0.0130424127564715"
"a672","0.00769141800237313","0.00593936755890392","0.00203936020814397","0.00293515403827961","0.00614811642672836","0.0133260569689313"
"a674","0.00766163016195028","0.00589377333701564","0.00203223048215981","0.00297447907630923","0.00612973461129253","0.0132185322685953"
"a676","0.00761441254769663","0.00583855237071049","0.00202106721272798","0.00301044379900607","0.00610730248645969","0.0130904197307437"
"a678","0.0073740080214565","0.00564676919831995","0.00197087421335104","0.00301231423264031","0.00601265053286452","0.0127050635688887"
"a680","0.00702957977337748","0.00538145253034496","0.00189966520554213","0.00299582620293316","0.00587911097916655","0.0121811916094933"
"a682","0.00654773918096565","0.00505553390970831","0.00179418957548371","0.00292867345909913","0.00567812147572072","0.011465934822453"
"a684","0.005953470306827","0.00468003187325758","0.00166067761813025","0.00282006776734311","0.00542194564975394","0.0105940904491577"
"a686","0.00527093376357592","0.00423512525580421","0.00150374216516651","0.0026642181923839","0.00508408728770564","0.00963027282778112"
"a688","0.00448051451363187","0.00370539081712538","0.00131817799534577","0.0024506260935097","0.00464639471489103","0.00855404345874975"
"a690","0.00378177031306112","0.00325807438580411","0.0011544542347117","0.00224601734518521","0.00423324357681751","0.00760486194003249"
"a692","0.00322053868655031","0.00293438496551917","0.00102349108785764","0.00205488362268528","0.00385690459085561","0.00684625219678641"
"a694","0.00268449872824923","0.00262420264163398","0.000896340245673285","0.00186764734478963","0.00349126480822659","0.00612049264294343"
"a696","0.00229121155646991","0.00239056053068065","0.000790792463283955","0.00170249658631826","0.00318625384448387","0.0055808841623848"
"a698","0.00190500764933003","0.00216260088679063","0.000687435635463222","0.00154094268267984","0.00288358736742056","0.00505337685156329"
"a700","0.00165338577033966","0.00204260811710358","0.000625706944445819","0.00144772902086777","0.00262546613726609","0.00475579176574725"
"a702","0.00140176389134929","0.00192261534741653","0.000563978253428416","0.00135451535905569","0.00236734490711162","0.00445820667993121"
"a704","0.00122918065780145","0.00185390603682385","0.000509005970901262","0.00128989270988256","0.00216133975218585","0.00425090103828071"
