"band","Ehux","Pela","Pro_","Syn_","Tetr","Thal"
"c540","0.0805110106567929","0.0985556741565596","0.00656231202989929","0.0271698958864664","0.0619040508488181","0.110195531024358"
"c542","0.0801590330145013","0.0978135434491671","0.00649201441144663","0.0271754466433928","0.0615428242407608","0.109705618334286"
"c544","0.0798046226174351","0.0970774538039068","0.0064199596189155","0.0271726544135199","0.0611884881807971","0.109212575204095"
"c546","0.0794364266099792","0.096375596844063","0.00633794750660635","0.027122585258451","0.0608731985600296","0.10870179291323"
"c548","0.0790682306025234","0.0956737398842191","0.0062559353942972","0.0270725161033821","0.0605579089392621","0.108191010622366"
"c550","0.0785601786675161","0.0949297871083294","0.00618850424116918","0.0269077853262797","0.0602372955800795","0.107689634022543"
"c552","0.0780274462747057","0.0941784056590198","0.00612364619848488","0.0267228201452891","0.0599157427376472","0.107189917250551"
"c554","0.0775566744698224","0.0934367965582393","0.00606274892684856","0.0264526218041271","0.0596230007148732","0.106608419757548"
"c556","0.0771365976914248","0.0927031830153463","0.00600509228606967","0.0261126872410069","0.0593538311809107","0.105960010765536"
"c558","0.076691971995796","0.0919709636119462","0.00594617153368981","0.0257558716110992","0.0590828797299346","0.105327823004978"
"c560","0.0761736995484736","0.0912429266270253","0.00588345844650699","0.0253484127808292","0.0588065825279178","0.104744298938781"
"c562","0.0756554271011512","0.0905148896421043","0.00582074535932418","0.0249409539505592","0.058530285325901","0.104160774872583"
"c564","0.075202102867379","0.089950657902747","0.0057662544191133","0.024545741697658","0.0582731694212008","0.103641334014529"
"c566","0.0747487786336069","0.0893864261633898","0.00571176347890243","0.0241505294447568","0.0580160535165005","0.103121893156475"
"c568","0.0742890275841103","0.0887728033920105","0.00567277977191336","0.0237900979219004","0.0577580726005499","0.10252638238542"
"c570","0.0738285624439777","0.0881536927281843","0.00563551909083783","0.0234335309246046","0.0574999955722381","0.101922419401808"
"c572","0.0733729468134818","0.0875456489627555","0.00559840596199198","0.0230784288206416","0.0572501702835631","0.101328390504404"
"c574","0.0729448117375937","0.0870003176215789","0.00556212896244767","0.0227316277788982","0.0570471048528304","0.100790654762176"
"c576","0.0725166766617056","0.0864549862804023","0.00552585196290336","0.0223848267371548","0.0568440394220977","0.100252919019947"
"c578","0.0720681039615009","0.0859742828892237","0.00548318274118653","0.0220540587989284","0.0565862408331008","0.0996957865250829"
"c580","0.0716184555968585","0.0854969809690976","0.00544017708672378","0.0217241347082555","0.0563255615515636","0.0991376331485007"
"c582","0.0712239927809405","0.0849710442572098","0.0054012669470837","0.0213911812127426","0.0560900941015973","0.0985893985112448"
"c584","0.0708479251479305","0.084428895948068","0.00536372197905118","0.0210572179156163","0.055863030595488","0.0980444701204311"
"c586","0.0704696948888412","0.0839044034225243","0.00532833941196462","0.0207418525266282","0.0556389249716391","0.0975241511652046"
"c588","0.0700896952084142","0.0833943565381063","0.00529472608201566","0.0204417036079348","0.0554172394332759","0.0970239672027313"
"c590","0.0697325320609044","0.0829057059240714","0.00526175959602972","0.0201539995578148","0.055202864819029","0.0965162854517924"
"c592","0.0694177796173837","0.0824567912407478","0.00522999439168939","0.0198894074064741","0.0550020676352834","0.09599467923656"
"c594","0.0691011954156934","0.0820055277945598","0.00519787747867561","0.0196259583000194","0.0548002364334831","0.0954718265486742"
"c596","0.0687498078087796","0.0815096378539479","0.00515907810086635","0.0193842270464","0.054578758888643","0.0949252908803747"
"c598","0.0683984202018658","0.0810137479133361","0.0051202787230571","0.0191424957927806","0.054357281343803","0.0943787552120752"
"c600","0.0680574976207449","0.0805308349370609","0.00509360021702819","0.0189292594534277","0.054171658438148","0.0938519577025122"
"c602","0.0677210600506781","0.08005348351693","0.00507211637033371","0.0187282352201889","0.0540014018064294","0.0933336194038364"
"c604","0.0673861560206915","0.0795649461632912","0.00505031634848517","0.0185331300992683","0.0538325779731385","0.0928078316305789"
"c606","0.0670531263174696","0.0790627371131428","0.00502812989033721","0.0183452594489587","0.0536655053379258","0.0922729389439438"
"c608","0.0667173312038556","0.0785656785035619","0.00500563957703994","0.0181594424609564","0.0534968782719787","0.0917321763835568"
"c610","0.0663658654313531","0.0780978057238639","0.00498142741789655","0.0179852628926947","0.0533194427652031","0.0911581512052423"
"c612","0.0660143996588506","0.0776299329441659","0.00495721525875316","0.0178110833244331","0.0531420072584275","0.0905841260269279"
"c614","0.0656091799152864","0.0771350989773204","0.00494616094680821","0.0176611624562697","0.0529739051696277","0.0901522094298069"
"c616","0.0652039601717223","0.076640265010475","0.00493510663486325","0.0175112415881063","0.0528058030808279","0.089720292832686"
"c618","0.064826936276885","0.076178133970589","0.00491877706794071","0.0173796087996289","0.0526144666981562","0.0892894551578586"
"c620","0.0644650947621314","0.0757336121990659","0.00489960697910715","0.0172578234386746","0.0524106195418611","0.0888591984411893"
"c622","0.064102533919913","0.0752848794521722","0.00487960912249685","0.0171381166578564","0.0522120395292725","0.0884349593287805"
